"name","year","quarter","count"
"GDScript","2015","2","142"
"Perl6","2015","2","142"
"AutoIt","2015","2","137"
"Mathematica","2015","2","135"
"SourcePawn","2015","2","132"
"AutoHotkey","2015","2","131"
"Logos","2015","2","124"
"Objective-J","2015","2","121"
"Tcl","2015","2","118"
"POV-Ray SDL","2015","2","112"
"Protocol Buffer","2015","2","112"
"1C Enterprise","2015","2","108"
"ABAP","2015","2","105"
"Crystal","2015","2","104"
"JavaScript","2015","3","286828"
"Python","2015","3","139856"
"Java","2015","3","122570"
"PHP","2015","3","96734"
"C++","2015","3","64088"
"Ruby","2015","3","59438"
"C#","2015","3","44041"
"HTML","2015","3","42634"
"C","2015","3","39425"
"Go","2015","3","36684"
"CSS","2015","3","21864"
"Shell","2015","3","21138"
"Objective-C","2015","3","20820"
"CoffeeScript","2015","3","18576"
"TypeScript","2015","3","12478"
"Scala","2015","3","11795"
"Swift","2015","3","10164"
"Haskell","2015","3","7840"
"Lua","2015","3","5487"
"Rust","2015","3","4913"
"Clojure","2015","3","4366"
"Perl","2015","3","4045"
"Groovy","2015","3","3766"
"Emacs Lisp","2015","3","3679"
"R","2015","3","3151"
"Julia","2015","3","2949"
"Erlang","2015","3","2409"
"Jupyter Notebook","2015","3","2213"
"DM","2015","3","2208"
"Dart","2015","3","1966"
"Elixir","2015","3","1905"
"Makefile","2015","3","1803"
"OCaml","2015","3","1758"
"TeX","2015","3","1735"
"F#","2015","3","1709"
"VimL","2015","3","1674"
"PowerShell","2015","3","1516"
"Matlab","2015","3","1216"
"Kotlin","2015","3","1151"
"Haxe","2015","3","962"
"QML","2015","3","912"
"Visual Basic","2015","3","898"
"PLpgSQL","2015","3","883"
"Puppet","2015","3","764"
"XSLT","2015","3","722"
"ActionScript","2015","3","712"
"D","2015","3","702"
"Vala","2015","3","584"
"Smalltalk","2015","3","583"
"Web Ontology Language","2015","3","582"
"Pascal","2015","3","575"
"Groff","2015","3","566"
"CMake","2015","3","562"
"PureScript","2015","3","558"
"Eiffel","2015","3","539"
"Arduino","2015","3","535"
"Elm","2015","3","533"
"ApacheConf","2015","3","515"
"Logos","2015","3","442"
"Objective-C++","2015","3","440"
"SQF","2015","3","427"
"Racket","2015","3","424"
"Common Lisp","2015","3","399"
"FORTRAN","2015","3","353"
"Apex","2015","3","314"
"Nginx","2015","3","293"
"LiveScript","2015","3","287"
"Perl6","2015","3","278"
"Batchfile","2015","3","269"
"Standard ML","2015","3","255"
"Eagle","2015","3","253"
"Cucumber","2015","3","251"
"KiCad","2015","3","243"
"Assembly","2015","3","240"
"ColdFusion","2015","3","239"
"SourcePawn","2015","3","228"
"Cuda","2015","3","209"
"HCL","2015","3","208"
"PLSQL","2015","3","183"
"Protocol Buffer","2015","3","170"
"ABAP","2015","3","163"
"AutoHotkey","2015","3","157"
"Tcl","2015","3","153"
"Scheme","2015","3","150"
"POV-Ray SDL","2015","3","150"
"Prolog","2015","3","148"
"ooc","2015","3","145"
"Factor","2015","3","143"
"Smarty","2015","3","140"
"Mathematica","2015","3","136"
"Crystal","2015","3","131"
"Objective-J","2015","3","119"
"Xtend","2015","3","114"
"Inno Setup","2015","3","111"
"Papyrus","2015","3","111"
"Thrift","2015","3","110"
"GDScript","2015","3","107"
"Nimrod","2015","3","106"
"GCC Machine Description","2015","3","104"
"AppleScript","2015","3","102"
"Ceylon","2015","3","100"
"JavaScript","2015","4","312059"
"Python","2015","4","147092"
"Java","2015","4","133116"
"PHP","2015","4","97166"
"C++","2015","4","67819"
"Ruby","2015","4","58960"
"C#","2015","4","53300"
"C","2015","4","43730"
"HTML","2015","4","42629"
"Go","2015","4","39668"
"Shell","2015","4","23760"
"CSS","2015","4","22744"
"Objective-C","2015","4","22062"
"CoffeeScript","2015","4","16462"
"TypeScript","2015","4","15247"
"Swift","2015","4","13399"
"Scala","2015","4","10864"
"Haskell","2015","4","7870"
"Lua","2015","4","6728"
"Rust","2015","4","5998"
"Clojure","2015","4","5200"
"Perl","2015","4","4541"
"Groovy","2015","4","3910"
"Emacs Lisp","2015","4","3309"
"Julia","2015","4","3013"
"R","2015","4","2702"
"Jupyter Notebook","2015","4","2634"
"Erlang","2015","4","2556"
"Makefile","2015","4","2393"
