"name","year","quarter","count"
"Elm","2014","2","616"
"Groff","2014","2","591"
"Objective-J","2014","2","571"
"Coq","2014","2","561"
"BlitzBasic","2014","2","550"
"AutoHotkey","2014","2","506"
"IDL","2014","2","503"
"KRL","2014","2","502"
"SuperCollider","2014","2","499"
"AppleScript","2014","2","496"
"Nix","2014","2","470"
"Ada","2014","2","465"
"Factor","2014","2","465"
"PureScript","2014","2","452"
"Batchfile","2014","2","439"
"UnrealScript","2014","2","385"
"PostScript","2014","2","381"
"OpenSCAD","2014","2","363"
"Mercury","2014","2","357"
"Xtend","2014","2","333"
"KiCad","2014","2","328"
"nesC","2014","2","315"
"APL","2014","2","313"
"Logtalk","2014","2","311"
"POV-Ray SDL","2014","2","297"
"OpenEdge ABL","2014","2","296"
"Red","2014","2","293"
"Max","2014","2","290"
"SMT","2014","2","278"
"Logos","2014","2","266"
"Ceylon","2014","2","250"
"Liquid","2014","2","242"
"Smarty","2014","2","240"
"Agda","2014","2","239"
"SQF","2014","2","226"
"API Blueprint","2014","2","225"
"Oz","2014","2","220"
"Idris","2014","2","217"
"Ragel in Ruby Host","2014","2","214"
"Gosu","2014","2","214"
"XQuery","2014","2","210"
"FreeMarker","2014","2","209"
"Hack","2014","2","208"
"Nginx","2014","2","191"
"Gnuplot","2014","2","186"
"Squirrel","2014","2","182"
"Mako","2014","2","176"
"Propeller Spin","2014","2","175"
"Pure Data","2014","2","172"
"AutoIt","2014","2","166"
"Handlebars","2014","2","166"
"Pan","2014","2","163"
"Rebol","2014","2","155"
"Gettext Catalog","2014","2","150"
"Forth","2014","2","147"
"PAWN","2014","2","147"
"HLSL","2014","2","145"
"Lex","2014","2","145"
"ATS","2014","2","143"
"SaltStack","2014","2","140"
"Nimrod","2014","2","140"
"GLSL","2014","2","139"
"M","2014","2","135"
"Protocol Buffer","2014","2","132"
"Stata","2014","2","130"
